Designator,Mid X,Mid Y,Rotation,Layer
C1,151.5,-92.8,90.0,bottom
C10,157.51875,-76.6,270.0,top
C2,144.15,-76.8,0.0,top
C3,146.8,-73.8625,90.0,top
C4,157.7,-85.5,90.0,bottom
C5,150.0,-83.7625,90.0,top
C6,143.41875,-67.221875,180.0,top
C7,143.41875,-73.221875,0.0,top
C8,149.8,-65.178125,0.0,top
C9,157.5,-66.078125,90.0,top
FB1,147.7,-76.778125,0.0,top
J1,150.0,-98.6,270.0,bottom
J2,155.7,-59.75,270.0,top
J3,150.2,-53.5,180.0,top
J4,150.0,-87.295,180.0,bottom
Q1,142.7,-92.7375,180.0,bottom
R1,157.7,-89.0875,90.0,bottom
R2,157.7,-92.8,90.0,bottom
R3,157.7,-96.4,270.0,bottom
R4,146.1,-65.2,0.0,top
R5,146.8,-70.3,90.0,top
R6,145.5,-92.75,90.0,bottom
R7,141.65,-87.6,270.0,bottom
U1,154.6,-92.8,180.0,bottom
U2,152.85625,-71.328125,270.0,top
U3,150.0,-90.0,90.0,top
Y1,143.41875,-70.2125,90.0,top
